city,x,y
E5,45.4,90.4
T7,-56.7,-8.7
Z8,73.9,72.0
Q1,-67.9,-45.2
J8,-8.0,-65.5
K7,-56.5,-54.2
X3,62.4,48.5
U8,72.7,34.7
B1,13.5,-6.0
Y3,54.9,-51.6
D0,-46.2,-6.2
T6,-75.2,52.6
J6,-92.6,64.9
B6,-86.1,-44.0
C6,-72.0,15.6
F2,-45.1,-56.7
Z5,95.9,74.3
K0,53.8,-70.8
X4,71.9,68.4
N9,30.2,8.4
G1,-51.6,-63.6
J4,-34.0,-36.1
Q8,50.1,95.0
Z6,-25.6,89.7
U0,61.2,78.3
S6,-17.7,-54.5
D7,-82.7,-91.8
W2,-8.0,-25.7
S9,44.5,8.1
S3,91.0,-14.0
N7,-44.0,-28.3
F4,89.1,4.2
D1,-94.3,81.3
U1,97.1,-55.4
K5,63.8,-36.2
O1,-19.9,27.0
Z2,-44.5,-88.3
E7,-84.1,47.0
Q4,-33.5,65.9
T1,84.1,-69.3
H4,1.2,-54.2
B5,-10.8,-55.8
S2,-47.5,-44.7
B2,36.4,-53.7
Q9,94.9,18.9
I1,53.2,0.1
Y5,0.9,-73.7
M6,96.6,55.7
M4,77.0,26.2
F7,29.7,32.2
Y4,51.7,75.6
S5,9.0,-76.9
G4,74.1,78.6
Z9,-42.2,19.0
F5,-2.2,15.7
T9,0.8,-72.4
V3,-8.7,7.3
R9,-47.0,8.8
W6,85.0,31.0
W0,-37.2,93.4
C1,20.5,5.2
L9,67.3,61.8
A4,18.0,-15.5
H0,33.7,-51.4
G0,-7.9,1.5
A9,-39.8,-30.6
L4,-53.6,13.8
U6,-93.9,-20.5
G8,92.3,-32.5
Y0,51.7,-73.3
G6,54.1,-43.6
V0,65.0,0.9
S0,11.1,-75.4
L2,-84.6,-17.1
X5,39.9,-53.2
O3,64.1,33.1
T5,90.0,-83.3
M7,8.0,-25.8
I2,12.8,65.6
S7,69.9,80.9
J1,17.5,-44.6
O7,88.3,82.6
Y7,17.9,26.7
V2,27.6,-67.4
