city,x,y
B4,98.4,92.8
D0,-24.2,12.5
K0,-68.1,-32.6
K3,3.1,49.7
Y1,75.7,-24.5
A5,46.0,-54.5
B1,1.7,77.0
A4,82.2,14.7
I7,67.6,53.8
K8,-76.1,-66.6
T8,13.0,92.1
A6,32.0,46.8
N8,27.7,33.3
P8,-91.4,99.6
B2,45.2,-83.5
P4,-66.0,-32.6
M1,44.6,-22.5
Y5,-51.5,-10.9
U5,-97.4,-29.6
H6,39.8,85.4
U3,8.8,96.1
E8,-72.9,80.4
B0,-73.1,-61.4
I5,91.0,-63.6
U6,-94.2,-35.5
Q5,-69.2,-73.1
A8,-24.5,9.3
P0,50.2,-33.0
L0,27.8,93.9
N1,43.5,35.8
L3,48.8,65.0
U0,51.6,-22.6
J2,82.7,54.5
J6,-26.3,7.0
S6,-40.3,-6.9
O0,-30.1,74.2
X7,-39.2,58.2
A2,4.3,74.3
Q8,-72.5,0.0
R5,-55.0,14.0
C4,-43.0,99.1
K4,-20.4,87.7
C3,1.0,51.6
A3,-46.4,-53.8
T5,-89.0,-23.9
P6,55.4,-48.6
S7,-31.9,82.9
Q2,22.0,-98.8
Z9,21.8,-1.1
W9,-75.5,-89.5
O5,91.5,71.2
K5,-56.7,-10.2
Z3,64.1,-63.9
Z0,68.3,-24.9
I2,71.3,-24.7
O9,9.0,-44.1
W7,0.2,81.1
E5,74.1,78.3
H9,72.8,-7.3
T4,41.1,80.2
L6,-91.3,-97.4
V2,-60.4,-46.1
F8,67.9,-39.4
O3,-43.5,-81.6
G8,88.2,-86.4
M6,59.6,-10.3
B9,-13.5,30.8
G3,94.5,-51.1
G1,-19.3,-94.8
N5,9.4,-91.6
J1,-43.5,28.6
Z2,-6.8,-17.1
Q6,-21.9,-62.2
C7,73.7,-42.6
P1,-74.8,-8.0
L8,22.9,-11.0
L4,-27.4,-21.9
D9,32.9,47.2
Y3,91.8,-64.0
E7,-71.9,72.6
F1,-33.8,-80.4
H7,-14.0,-59.8
