city,x,y
X7,-5.3,14.4
Z0,23.5,64.5
Z8,77.3,-34.7
Y1,-41.3,-15.2
B4,-69.7,-62.0
X6,46.6,75.6
R9,-2.6,-76.3
P5,-85.2,6.6
L4,29.3,74.3
G5,59.6,-74.2
O2,-77.1,39.4
A5,56.4,-40.3
F9,37.5,56.9
M7,-64.8,83.3
Y7,-66.8,62.5
O8,-75.7,-50.3
P3,10.5,34.7
Q2,44.3,-95.7
Z2,16.3,-66.8
I9,-40.0,5.4
A4,-42.4,-66.0
H5,-30.6,28.9
P6,-54.5,-53.2
C0,46.7,-16.7
V6,-86.4,76.8
B8,51.4,-57.8
R4,-10.5,60.9
Z3,75.7,70.6
T8,-43.3,78.9
T2,-85.1,-23.0
X3,-63.4,-46.0
P7,4.2,65.7
O7,-25.4,-83.7
P4,-76.6,12.8
D2,91.0,-39.4
K7,-73.3,-91.6
F0,74.0,36.6
M2,-62.2,-76.9
V0,-11.3,60.6
F7,95.2,-92.0
G2,52.9,15.7
D3,32.6,12.9
Z9,-66.0,61.2
E7,74.5,51.7
L2,-87.3,-94.5
L6,-91.5,46.3
V3,-83.5,15.6
V9,-11.9,-5.1
R0,-18.9,-12.3
I5,46.8,-92.2
A8,-87.8,16.7
D6,-1.6,-48.0
S1,38.6,26.7
I8,13.2,-87.1
U7,-11.0,-49.2
L8,-22.4,-65.9
N0,-90.2,89.9
L5,31.8,51.8
S4,-31.8,-52.5
I4,19.6,56.8
K0,-10.0,91.4
W0,50.6,97.0
K2,-98.2,-20.6
U4,-97.9,59.2
G0,89.8,75.7
D0,97.0,10.3
T5,-98.2,-3.0
R5,46.8,-60.2
W7,-54.7,-83.4
M6,-31.7,99.3
H9,93.6,-19.2
X2,-10.8,-84.5
V8,58.0,-74.3
L1,-73.4,63.8
Q7,-96.0,-85.8
F2,-2.0,-12.5
R8,93.9,-35.1
K9,67.8,33.4
E3,-58.0,93.8
Y3,-95.4,-14.1
Z1,67.6,93.4
G6,-97.3,98.5
H1,-60.3,69.5
H0,-56.2,-36.8
