order,city,x,y
1,J1,17.5,-44.6
2,A4,18.0,-15.5
3,B1,13.5,-6.0
4,G0,-7.9,1.5
5,V3,-8.7,7.3
6,F5,-2.2,15.7
7,O1,-19.9,27.0
8,Z9,-42.2,19.0
9,L4,-53.6,13.8
10,R9,-47.0,8.8
11,D0,-46.2,-6.2
12,T7,-56.7,-8.7
13,Q1,-67.9,-45.2
14,B6,-86.1,-44.0
15,U6,-93.9,-20.5
16,L2,-84.6,-17.1
17,C6,-72.0,15.6
18,E7,-84.1,47.0
19,T6,-75.2,52.6
20,J6,-92.6,64.9
21,D1,-94.3,81.3
22,W0,-37.2,93.4
23,Z6,-25.6,89.7
24,Q4,-33.5,65.9
25,I2,12.8,65.6
26,F7,29.7,32.2
27,Y7,17.9,26.7
28,C1,20.5,5.2
29,N9,30.2,8.4
30,S9,44.5,8.1
31,I1,53.2,0.1
32,V0,65.0,0.9
33,M4,77.0,26.2
34,U8,72.7,34.7
35,O3,64.1,33.1
36,X3,62.4,48.5
37,L9,67.3,61.8
38,X4,71.9,68.4
39,Z8,73.9,72.0
40,G4,74.1,78.6
41,S7,69.9,80.9
42,U0,61.2,78.3
43,Y4,51.7,75.6
44,E5,45.4,90.4
45,Q8,50.1,95.0
46,O7,88.3,82.6
47,Z5,95.9,74.3
48,M6,96.6,55.7
49,W6,85.0,31.0
50,Q9,94.9,18.9
51,F4,89.1,4.2
52,S3,91.0,-14.0
53,G8,92.3,-32.5
54,U1,97.1,-55.4
55,T1,84.1,-69.3
56,T5,90.0,-83.3
57,Y0,51.7,-73.3
58,K0,53.8,-70.8
59,Y3,54.9,-51.6
60,K5,63.8,-36.2
61,G6,54.1,-43.6
62,X5,39.9,-53.2
63,B2,36.4,-53.7
64,H0,33.7,-51.4
65,V2,27.6,-67.4
66,S0,11.1,-75.4
67,S5,9.0,-76.9
68,Y5,0.9,-73.7
69,T9,0.8,-72.4
70,J8,-8.0,-65.5
71,H4,1.2,-54.2
72,B5,-10.8,-55.8
73,S6,-17.7,-54.5
74,Z2,-44.5,-88.3
75,D7,-82.7,-91.8
76,G1,-51.6,-63.6
77,F2,-45.1,-56.7
78,K7,-56.5,-54.2
79,S2,-47.5,-44.7
80,N7,-44.0,-28.3
81,A9,-39.8,-30.6
82,J4,-34.0,-36.1
83,W2,-8.0,-25.7
84,M7,8.0,-25.8
