visit_order,city,x,y
1,W6,-47.7,-7.2
2,F9,-37.0,-7.5
3,R4,-12.9,-13.3
4,R7,-6.7,-23.0
5,A5,4.8,-21.5
6,O2,-11.0,-36.1
7,W1,-26.4,-41.6
8,P7,-32.1,-44.7
9,T5,-36.0,-45.3
10,B2,-49.6,-58.0
11,G3,-65.8,-66.5
12,Q2,-73.5,-73.9
13,T0,-85.7,-97.8
14,D6,-74.4,-100.0
15,M8,-70.3,-95.7
16,Z6,-51.9,-95.4
17,U2,-34.2,-88.5
18,I9,-0.5,-56.4
19,T9,5.1,-50.4
20,A6,17.2,-48.0
21,Z9,33.2,-67.8
22,O8,16.8,-83.7
23,F3,51.0,-97.7
24,E3,95.7,-96.2
25,D0,84.2,-68.1
26,A0,87.2,-63.5
27,C4,99.0,-65.1
28,C2,93.0,-44.9
29,X0,88.4,-42.9
30,U6,73.8,-32.9
31,S2,64.6,-36.0
32,J1,56.9,-39.0
33,L1,47.9,-39.2
34,Z3,30.3,-31.5
35,D8,42.0,-10.2
36,Y3,52.1,0.7
37,J8,52.9,23.9
38,J6,55.6,35.7
39,E8,46.4,53.2
40,F6,51.8,67.2
41,V8,68.5,65.1
42,P5,71.1,57.8
43,M2,88.4,37.1
44,S7,96.4,32.1
45,P9,87.1,81.6
46,L5,59.5,80.8
47,O5,34.8,89.4
48,L8,34.3,75.9
49,Z7,17.8,54.1
50,N3,23.6,43.5
51,I1,12.5,24.5
52,L4,-12.8,23.2
53,R2,-19.0,18.2
54,H1,-37.0,31.7
55,I4,-47.5,34.2
56,H8,-61.8,44.2
57,F8,-40.9,44.7
58,W7,-19.6,61.1
59,H6,-11.4,60.6
60,B8,-12.1,76.4
61,L0,-32.5,95.2
62,M3,-31.2,84.6
63,O7,-50.7,67.2
64,U0,-81.2,76.8
65,X3,-85.1,90.0
66,C1,-95.8,98.5
67,Q5,-99.8,89.8
68,L3,-91.5,83.7
69,W9,-86.6,78.1
70,H7,-93.2,72.2
71,P1,-85.8,65.8
72,U1,-74.8,61.8
73,E7,-82.5,31.3
74,J7,-83.5,23.7
75,D9,-99.8,26.1
76,S5,-99.5,-13.4
77,M9,-95.3,-36.8
78,B9,-90.8,-56.8
79,Z2,-81.1,-42.5
80,E9,-74.3,-35.9
81,W8,-73.1,-33.5
82,I5,-52.9,-17.4
83,W6 (retorno),-47.7,-7.2
