order,city,x,y
1,V7,36.7,-43.2
2,S0,56.7,-61.5
3,W8,58.8,-67.1
4,T5,61.0,-57.9
5,F3,47.3,-41.5
6,E9,31.8,-25.2
7,Y1,19.7,-12.5
8,M7,1.1,-7.6
9,E8,-9.8,4.3
10,S4,-2.0,17.8
11,M4,15.6,25.9
12,Y9,18.7,10.3
13,C2,31.2,10.8
14,K5,32.9,28.3
15,K3,37.8,39.8
16,S3,36.4,44.9
17,D2,2.6,58.1
18,C3,-18.3,53.0
19,L1,-39.8,42.2
20,F4,-48.9,62.9
21,L4,-41.8,61.1
22,I2,-29.5,67.8
23,P1,-54.8,95.9
24,W2,-46.0,94.2
25,E6,-29.7,91.3
26,L6,-5.8,95.8
27,G1,-14.3,73.9
28,N8,5.1,72.0
29,D9,16.5,65.0
30,Y6,25.1,64.2
31,U5,52.2,68.0
32,Q0,60.8,93.5
33,H2,61.3,92.5
34,K6,71.4,89.7
35,H9,81.4,80.0
36,G4,77.0,70.2
37,E4,70.6,41.3
38,C6,71.0,28.6
39,L2,68.3,23.1
40,A3,93.9,27.7
41,I5,87.4,9.3
42,J9,51.9,-12.0
43,W3,45.8,-21.3
44,K9,48.5,-28.4
45,X5,58.1,-24.4
46,L7,83.4,-29.8
47,G6,76.0,-38.9
48,O5,82.6,-41.3
49,A9,83.0,-62.5
50,X9,84.8,-77.9
51,R2,88.9,-83.1
52,U9,98.1,-87.4
53,V9,72.7,-89.4
54,B7,50.3,-90.7
55,O6,45.3,-79.5
56,S5,28.3,-86.7
57,O7,27.1,-90.1
58,U2,23.4,-86.1
59,A2,-12.9,-80.4
60,D3,-33.7,-68.0
61,X6,-37.4,-60.0
62,C0,-62.7,-57.8
63,D6,-67.6,-57.7
64,Q9,-82.3,-68.7
65,H0,-99.8,-83.9
66,T2,-99.1,-31.2
67,R4,-92.7,-4.3
68,F1,-87.8,3.6
69,V0,-95.0,29.6
70,E2,-74.7,31.4
71,K7,-61.8,22.7
72,N3,-69.3,3.0
73,Q6,-75.7,-14.8
74,M3,-65.4,-21.3
75,K4,-67.4,-23.1
76,N1,-75.5,-29.4
77,H3,-73.2,-48.0
78,I7,-68.9,-44.6
79,F8,-62.7,-41.5
80,O2,-61.4,-47.7
81,U4,-46.4,-46.4
82,O4,-27.0,-26.0
83,G3,-24.7,-24.6
84,R6,-1.2,-28.3
85,B0,2.7,-26.4
