order,city,x,y
1,R0,8.4,-94.0
2,O4,-10.2,-78.1
3,E3,-3.9,-77.0
4,G0,-0.6,-75.2
5,D8,1.4,-71.0
6,E6,18.3,-60.5
7,J0,21.1,-61.5
8,Z9,23.4,-51.3
9,H0,28.7,-40.8
10,F3,41.3,-22.5
11,I3,57.3,-18.6
12,T4,61.2,-12.5
13,G9,57.3,-8.1
14,W3,48.6,-7.0
15,F7,44.4,-0.3
16,Q2,42.5,3.3
17,S1,33.6,7.9
18,U1,23.3,20.8
19,B6,25.3,26.4
20,K9,51.0,37.1
21,I7,23.7,53.3
22,C3,4.7,48.5
23,K4,-18.2,42.4
24,R9,-4.3,14.5
25,H1,4.2,3.1
26,C2,-3.4,-29.7
27,H9,-6.8,-37.1
28,O2,-4.8,-36.8
29,V5,6.7,-37.4
30,D9,2.6,-43.0
31,V8,-0.2,-41.3
32,O8,-4.3,-46.6
33,S4,-15.3,-55.9
34,U3,-25.9,-46.2
35,Z1,-39.1,-51.3
36,H6,-44.2,-59.6
37,I6,-26.4,-70.6
38,Q1,-26.5,-84.6
39,R8,-57.9,-91.4
40,Y3,-65.7,-96.7
41,S2,-90.2,-94.4
42,F5,-76.5,-68.4
43,C0,-98.9,-39.5
44,M1,-75.6,-24.1
45,D4,-82.8,-14.5
46,D6,-78.7,-12.9
47,F6,-67.2,-8.0
48,I0,-63.4,-20.2
49,G4,-60.0,-16.4
50,D0,-41.6,-20.9
51,K7,-26.8,-26.9
52,I1,-18.1,-29.9
53,D1,-25.0,8.8
54,G7,-32.4,14.7
55,Z4,-44.0,20.2
56,R5,-39.0,27.5
57,A9,-48.0,41.8
58,Y4,-47.8,44.5
59,U0,-54.7,45.6
60,L1,-74.0,60.4
61,F8,-61.7,62.8
62,O6,-58.2,72.3
63,A6,-13.4,95.9
64,Q5,7.0,84.5
65,N7,26.4,70.4
66,L9,26.7,78.4
67,N5,40.7,93.8
68,U8,61.6,75.0
69,S6,68.6,75.0
70,A8,81.0,95.6
71,E5,89.1,71.4
72,B4,79.4,67.4
73,J9,68.6,48.1
74,X1,62.9,31.5
75,E2,69.6,-3.8
76,V4,77.9,-15.6
77,I9,90.8,-13.1
78,N6,96.5,-39.8
79,V6,67.5,-36.7
80,C7,65.8,-61.9
81,X0,53.1,-62.3
82,X6,54.7,-75.5
83,U6,50.1,-79.4
84,K8,81.7,-95.9
85,J8,38.7,-95.8
86,U4,32.4,-77.4
87,C8,23.4,-86.8
88,E4,13.8,-90.9
