city,x,y
C000,-89.5,-82.6
C001,-18.6,-78.5
C002,80.2,-92.4
C003,7.2,-33.6
C004,70.4,-68.1
C005,-32.6,-33.2
C006,-51.0,-99.7
C007,-12.7,-82.5
C008,19.5,-86.0
C009,-36.9,-10.3
C010,81.1,-81.4
C011,-71.6,58.0
C012,-95.8,82.2
C013,14.7,-46.9
C014,67.6,53.8
C015,-31.3,60.3
C016,-58.6,21.8
C017,5.4,61.9
C018,-36.9,-20.4
C019,53.9,2.6
C020,37.0,27.7
C021,33.3,78.0
C022,-2.8,33.7
C023,-25.1,-93.6
C024,50.8,-63.7
C025,64.0,82.7
C026,31.6,-66.0
C027,-32.6,-21.8
C028,-85.3,-8.6
C029,14.6,-32.8
C030,-62.2,-82.4
C031,25.7,-97.4
C032,-29.6,-54.2
C033,6.4,44.7
C034,81.8,27.8
C035,98.4,92.8
C036,26.0,-53.3
C037,-3.2,-64.5
C038,98.4,-11.1
C039,50.3,-91.2
C040,-73.1,-61.4
C041,-48.7,-29.6
C042,-45.6,-13.1
C043,-15.9,-78.3
C044,-87.5,-29.0
C045,-82.2,-13.4
C046,-98.3,7.2
C047,-85.3,38.8
C048,-19.2,97.1
C049,-47.5,-5.5
C050,50.2,-33.0
C051,-30.3,27.8
C052,93.9,76.8
C053,-16.2,43.5
C054,35.8,-25.6
C055,-53.0,-84.3
C056,75.8,-88.6
C057,3.7,7.5
C058,-70.8,31.2
C059,83.2,55.2
C060,-22.1,-74.7
C061,95.0,3.4
C062,25.9,60.5
C063,-22.8,-87.6
C064,-72.8,33.7
C065,-30.1,74.2
C066,48.0,96.1
C067,33.8,-39.2
C068,58.2,-94.3
C069,4.3,74.3
C070,2.9,-72.5
C071,0.0,9.1
C072,-26.2,78.7
C073,-32.0,-45.6
C074,1.3,-59.3
C075,-35.6,-20.4
C076,87.7,-83.9
C077,-60.6,-60.1
C078,99.1,78.2
C079,-61.2,12.9
C080,-83.0,-36.6
C081,-31.8,7.5
C082,85.9,61.8
C083,6.8,57.2
C084,-3.2,46.1
C085,55.4,-48.6
C086,66.6,15.6
C087,-2.8,-20.8
C088,-55.2,0.3
C089,-74.8,27.0
C090,79.7,58.1
C091,21.8,-1.1
C092,39.2,-75.5
C093,-89.5,72.3
C094,-27.6,33.8
C095,-15.8,-28.3
C096,54.1,-31.4
C097,50.7,64.1
C098,-63.9,95.4
C099,-87.5,-17.1
