city,x,y
C000,49.6,93.3
C001,-13.0,58.9
C002,29.6,23.5
C003,64.5,57.9
C004,77.3,-34.7
C005,97.3,-77.0
C006,-4.3,-6.5
C007,-47.4,-74.7
C008,-63.0,-21.9
C009,4.2,57.1
C010,42.1,87.1
C011,16.0,39.7
C012,91.7,62.6
C013,-85.2,6.6
C014,-27.4,97.2
C015,44.9,29.3
C016,74.3,-59.9
C017,59.6,-74.2
C018,-10.7,36.7
C019,-25.9,73.0
C020,-37.3,94.9
C021,63.7,40.3
C022,37.5,56.9
C023,-20.8,44.1
C024,18.3,78.0
C025,-7.5,-92.8
C026,-51.6,9.1
C027,-72.2,57.1
C028,89.4,-56.9
C029,23.9,66.9
C030,78.8,55.7
C031,8.0,-35.9
C032,56.3,-71.9
C033,-64.2,-65.6
C034,72.7,-40.0
C035,5.4,62.0
C036,-98.1,44.0
C037,-99.7,-42.4
C038,-66.0,88.8
C039,-51.5,-30.6
C040,28.9,86.7
C041,-22.8,-45.7
C042,-38.9,-90.6
C043,-84.6,-13.0
C044,-19.2,48.6
C045,-97.4,10.4
C046,-100.0,-26.1
C047,95.1,44.3
C048,-95.7,74.9
C049,90.2,-49.0
C050,-38.2,-82.7
C051,44.0,75.7
C052,70.6,23.4
C053,7.5,42.1
C054,-95.5,57.1
C055,29.8,-2.6
C056,-76.3,21.4
C057,-85.1,-23.0
C058,47.7,63.6
C059,-63.4,-46.0
C060,-3.4,-3.4
C061,-53.3,-70.9
C062,70.5,-25.4
C063,-83.7,-3.0
C064,-46.2,-86.7
C065,27.5,-69.6
C066,55.8,-17.0
C067,-3.8,73.1
C068,-45.2,68.6
C069,38.5,-92.7
C070,-54.4,-95.0
C071,97.0,-70.7
C072,13.7,-82.7
C073,-88.7,-90.2
C074,93.5,-4.6
C075,11.7,-64.7
C076,-62.7,28.9
C077,-24.1,82.9
C078,32.6,12.9
C079,57.4,52.7
C080,-66.0,61.2
C081,-69.7,-1.7
C082,92.5,24.9
C083,-67.7,38.9
C084,47.0,-25.0
C085,68.5,-91.5
C086,46.3,33.4
C087,-83.5,15.6
C088,36.1,91.5
C089,23.1,-18.9
C090,-60.9,10.3
C091,-91.2,20.3
C092,-20.4,-49.4
C093,-45.7,-22.3
C094,54.2,-82.2
C095,-36.4,-97.3
C096,7.3,-73.0
C097,-76.1,81.6
C098,-1.6,-48.0
C099,14.8,46.9
