city,x,y
C000,-87.7,26.4
C001,37.2,81.8
C002,-63.1,49.2
C003,-79.6,-28.3
C004,82.4,14.1
C005,-73.3,-40.2
C006,-5.2,-81.2
C007,-18.1,57.1
C008,60.6,-94.6
C009,-15.4,60.3
C010,-20.8,-24.0
C011,-81.2,57.8
C012,53.3,-48.1
C013,25.2,45.4
C014,-10.9,-35.4
C015,33.0,-62.3
C016,-90.2,-62.6
C017,-79.0,25.9
C018,-75.8,-61.2
C019,68.5,-86.6
C020,94.8,-50.9
C021,10.6,-90.6
C022,16.6,-43.2
C023,-72.5,96.9
C024,-58.4,84.7
C025,64.0,-85.8
C026,83.2,-47.1
C027,24.3,6.6
C028,39.5,44.9
C029,81.4,-7.0
C030,-1.2,-67.1
C031,-76.3,-60.0
C032,12.6,-6.1
C033,94.2,-47.8
C034,60.5,40.0
C035,19.7,-86.6
C036,62.7,-86.8
C037,86.5,30.1
C038,-74.7,57.8
C039,9.6,24.2
C040,56.0,69.1
C041,-71.2,-41.4
C042,61.7,41.5
C043,-32.6,-62.0
C044,-54.4,-68.1
C045,-16.6,-23.7
C046,2.4,7.3
C047,47.2,-42.7
C048,-76.8,-61.9
C049,76.4,-11.8
C050,2.1,-79.8
C051,11.7,93.8
C052,50.7,-70.2
C053,-36.6,-63.5
C054,-7.1,94.4
C055,-15.4,24.3
C056,60.1,31.5
C057,35.1,-76.4
C058,20.1,53.5
C059,87.8,-88.6
C060,-73.0,-4.9
C061,-37.0,88.3
C062,-22.2,12.1
C063,47.2,-31.4
C064,-21.0,35.2
C065,-98.9,-8.4
C066,-86.9,99.2
C067,-82.4,29.6
C068,-60.4,91.2
C069,56.2,19.4
C070,32.4,-67.2
C071,57.2,-77.8
C072,1.7,52.8
C073,-84.9,47.1
C074,59.5,79.6
C075,90.6,50.9
C076,37.2,27.3
C077,79.5,-40.3
C078,-8.5,-85.3
C079,77.8,25.1
C080,71.4,29.3
C081,-33.9,10.8
C082,-16.6,-59.6
C083,-85.2,-88.3
C084,57.2,-27.9
C085,35.7,-84.6
C086,-21.4,-38.0
C087,-89.8,62.9
C088,-77.1,25.2
C089,96.5,-90.9
C090,-11.9,8.6
C091,98.5,23.9
C092,99.0,47.5
C093,-5.6,-67.2
C094,-98.3,-54.1
C095,-66.1,-69.6
C096,-14.4,-36.8
C097,48.4,7.9
C098,-95.4,-35.2
C099,36.1,-47.8
