city,x,y
C000,-26.1,-3.3
C001,17.1,-43.3
C002,-70.7,-42.0
C003,95.5,33.4
C004,58.1,-24.4
C005,38.3,-58.8
C006,56.5,-75.5
C007,-33.7,-68.0
C008,-31.6,37.8
C009,39.8,86.5
C010,66.3,-37.4
C011,-60.0,-61.2
C012,-14.3,73.9
C013,-13.2,5.1
C014,72.0,-55.2
C015,61.3,92.5
C016,99.9,-35.7
C017,48.5,-28.4
C018,64.1,-73.2
C019,97.0,36.7
C020,94.8,20.6
C021,23.1,-97.9
C022,-44.0,93.6
C023,97.0,-78.2
C024,16.5,65.0
C025,-86.6,71.0
C026,28.6,-68.2
C027,-47.8,95.1
C028,-90.2,-64.7
C029,-10.1,63.6
C030,68.5,20.2
C031,-95.4,-28.6
C032,44.3,-48.7
C033,-97.4,6.4
C034,-72.3,-17.0
C035,59.9,-87.9
C036,81.6,-79.8
C037,82.9,-19.0
C038,1.1,-7.6
C039,-74.5,-74.7
C040,31.4,41.9
C041,45.8,-21.3
C042,69.2,62.7
C043,96.1,-18.3
C044,53.0,92.7
C045,29.6,45.3
C046,-79.5,-26.7
C047,-41.8,61.1
C048,91.6,-23.6
C049,-60.6,-90.1
C050,84.8,25.1
C051,39.9,-65.4
C052,-21.3,8.7
C053,-92.7,-4.3
C054,-57.7,77.0
C055,70.2,44.1
C056,84.8,-77.9
C057,53.8,-19.3
C058,36.0,56.0
C059,25.1,64.2
C060,28.7,-49.3
C061,-29.4,96.5
C062,-13.4,-13.6
C063,97.7,20.3
C064,-54.0,9.0
C065,-30.4,-86.8
C066,-14.1,6.2
C067,-89.4,74.8
C068,32.4,98.4
C069,-46.0,94.2
C070,-32.9,-68.3
C071,-74.6,28.3
C072,92.2,52.2
C073,68.0,-14.1
C074,85.2,-55.4
C075,-18.3,-95.9
C076,72.0,83.0
C077,-62.5,71.3
C078,-7.3,-47.2
C079,1.5,47.0
C080,23.4,-86.1
C081,-21.7,18.4
C082,-10.6,87.2
C083,-3.3,-54.8
C084,95.9,55.1
C085,-86.0,55.9
C086,-28.3,-39.8
C087,42.2,21.5
C088,61.0,-57.9
C089,-73.0,-9.8
C090,4.3,-53.0
C091,-97.9,75.1
C092,-45.6,-12.5
C093,65.5,-99.6
C094,-60.4,48.4
C095,76.2,-35.3
C096,22.1,68.4
C097,-12.7,15.4
C098,43.5,-45.0
C099,-8.3,-49.6
