city,x,y
V4,77.9,-15.6
I1,-18.1,-29.9
S6,68.6,75.0
S2,-90.2,-94.4
N6,96.5,-39.8
U0,-54.7,45.6
D6,-78.7,-12.9
I7,23.7,53.3
I0,-63.4,-20.2
O4,-10.2,-78.1
J0,21.1,-61.5
D1,-25.0,8.8
G4,-60.0,-16.4
I6,-26.4,-70.6
K4,-18.2,42.4
C0,-98.9,-39.5
Z1,-39.1,-51.3
L9,26.7,78.4
Z4,-44.0,20.2
K8,81.7,-95.9
F8,-61.7,62.8
M1,-75.6,-24.1
N5,40.7,93.8
B4,79.4,67.4
H1,4.2,3.1
V5,6.7,-37.4
R9,-4.3,14.5
X6,54.7,-75.5
X1,62.9,31.5
A9,-48.0,41.8
X0,53.1,-62.3
C7,65.8,-61.9
A8,81.0,95.6
U3,-25.9,-46.2
L1,-74.0,60.4
G9,57.3,-8.1
R0,8.4,-94.0
V8,-0.2,-41.3
Q5,7.0,84.5
Y3,-65.7,-96.7
Y4,-47.8,44.5
F3,41.3,-22.5
E6,18.3,-60.5
D4,-82.8,-14.5
Q2,42.5,3.3
H9,-6.8,-37.1
U4,32.4,-77.4
F5,-76.5,-68.4
D0,-41.6,-20.9
Z9,23.4,-51.3
O6,-58.2,72.3
U6,50.1,-79.4
E5,89.1,71.4
E2,69.6,-3.8
I3,57.3,-18.6
F6,-67.2,-8.0
O8,-4.3,-46.6
N7,26.4,70.4
T4,61.2,-12.5
K9,51.0,37.1
I9,90.8,-13.1
H6,-44.2,-59.6
S4,-15.3,-55.9
F7,44.4,-0.3
H0,28.7,-40.8
J9,68.6,48.1
O2,-4.8,-36.8
A6,-13.4,95.9
S1,33.6,7.9
B6,25.3,26.4
C2,-3.4,-29.7
R8,-57.9,-91.4
G7,-32.4,14.7
C8,23.4,-86.8
R5,-39.0,27.5
E4,13.8,-90.9
G0,-0.6,-75.2
K7,-26.8,-26.9
D8,1.4,-71.0
D9,2.6,-43.0
V6,67.5,-36.7
C3,4.7,48.5
E3,-3.9,-77.0
U8,61.6,75.0
Q1,-26.5,-84.6
U1,23.3,20.8
J8,38.7,-95.8
W3,48.6,-7.0
