city,x,y
J8,52.9,23.9
S2,64.6,-36.0
I9,-0.5,-56.4
O2,-11.0,-36.1
U6,73.8,-32.9
J6,55.6,35.7
S7,96.4,32.1
L3,-91.5,83.7
C2,93.0,-44.9
T5,-36.0,-45.3
L4,-12.8,23.2
B2,-49.6,-58.0
Z7,17.8,54.1
O7,-50.7,67.2
I1,12.5,24.5
O8,16.8,-83.7
U0,-81.2,76.8
D6,-74.4,-100.0
W6,-47.7,-7.2
F6,51.8,67.2
W7,-19.6,61.1
W9,-86.6,78.1
J7,-83.5,23.7
N3,23.6,43.5
L0,-32.5,95.2
Z6,-51.9,-95.4
T9,5.1,-50.4
E9,-74.3,-35.9
I5,-52.9,-17.4
V8,68.5,65.1
F8,-40.9,44.7
C4,99.0,-65.1
R4,-12.9,-13.3
X3,-85.1,90.0
B8,-12.1,76.4
A5,4.8,-21.5
Z3,30.3,-31.5
P7,-32.1,-44.7
D0,84.2,-68.1
P5,71.1,57.8
P1,-85.8,65.8
F3,51.0,-97.7
P9,87.1,81.6
L1,47.9,-39.2
H1,-37.0,31.7
E8,46.4,53.2
J1,56.9,-39.0
A6,17.2,-48.0
A0,87.2,-63.5
M8,-70.3,-95.7
M3,-31.2,84.6
D8,42.0,-10.2
R7,-6.7,-23.0
T0,-85.7,-97.8
B9,-90.8,-56.8
E3,95.7,-96.2
Z2,-81.1,-42.5
D9,-99.8,26.1
G3,-65.8,-66.5
I4,-47.5,34.2
M9,-95.3,-36.8
Z9,33.2,-67.8
E7,-82.5,31.3
X0,88.4,-42.9
H6,-11.4,60.6
C1,-95.8,98.5
L5,59.5,80.8
U2,-34.2,-88.5
S5,-99.5,-13.4
U1,-74.8,61.8
H8,-61.8,44.2
O5,34.8,89.4
Y3,52.1,0.7
Q2,-73.5,-73.9
W8,-73.1,-33.5
R2,-19.0,18.2
W1,-26.4,-41.6
L8,34.3,75.9
Q5,-99.8,89.8
M2,88.4,37.1
F9,-37.0,-7.5
H7,-93.2,72.2
