city,x,y
P0,21.1,-31.0
J8,-38.3,4.4
T5,44.5,-28.4
J5,28.6,-46.8
Z3,-24.8,24.8
L8,48.1,64.7
X6,-83.4,18.6
Q7,-82.3,-12.2
H3,-61.6,-30.6
T1,-36.7,-34.4
U0,30.6,-90.6
K1,4.7,-42.4
J1,48.8,69.6
R2,-60.2,64.5
D5,74.5,-69.0
V8,-77.6,-12.9
V1,-4.0,5.6
W2,-0.3,38.4
S9,-20.7,66.0
P2,-43.2,63.4
N7,56.7,-82.1
R3,-56.3,62.9
Y2,59.5,-9.4
U2,-61.5,87.9
B0,-0.4,-76.5
A7,-32.6,-30.2
M9,18.9,11.9
I7,-11.6,-68.3
L4,-61.0,14.1
G5,-75.7,23.0
Q5,-72.3,-43.4
D1,79.0,-50.5
Z4,99.8,-10.5
B5,-93.3,-19.5
Q3,-60.3,-11.8
O9,57.9,51.9
G6,-75.6,58.4
W4,-12.0,-8.0
P4,-21.1,36.1
A6,29.7,-76.8
L0,52.6,-10.8
Q9,-37.5,40.2
G7,-89.0,89.4
A0,7.3,74.0
V2,53.9,87.2
B9,-21.2,69.6
O4,-9.5,-85.8
Y1,-99.9,-59.4
V6,40.2,-49.1
Y7,41.0,-68.4
P7,16.7,-21.7
K3,-7.1,79.7
L7,-35.1,-25.5
C9,-8.6,-100.0
P3,18.2,21.5
F4,25.1,62.9
E0,-94.8,-59.1
M2,94.9,46.2
U1,-32.9,-97.0
S3,31.1,64.4
F9,-48.9,52.0
F2,-1.8,74.0
Z7,-11.7,66.8
G0,74.0,40.1
S7,23.9,-32.4
M0,3.0,-77.6
J9,-49.4,-13.4
N5,-89.1,-99.5
D8,16.7,32.0
H9,30.8,-39.2
H7,-23.8,62.0
D6,-88.8,17.5
R4,85.1,-43.8
D3,12.5,78.7
F8,91.1,88.2
S8,54.8,65.0
R9,-1.7,82.0
I4,-40.2,66.8
B8,21.2,-52.6
K9,-25.0,-81.3
