city,x,y
C000,-70.8,-29.3
C001,-52.9,-67.8
C002,94.8,-3.4
C003,93.9,65.5
C004,59.3,6.4
C005,-84.2,75.1
C006,-84.1,-59.2
C007,-36.1,1.4
C008,-13.4,68.2
C009,-6.0,39.0
C010,-18.5,71.2
C011,62.4,48.5
C012,98.2,61.3
C013,72.7,34.7
C014,-92.6,93.5
C015,-76.2,-16.8
C016,-77.8,51.0
C017,-58.1,90.3
C018,-6.3,-88.4
C019,75.1,50.3
C020,69.9,-24.9
C021,-39.1,26.7
C022,-76.3,83.6
C023,-5.6,-13.9
C024,-27.5,-59.2
C025,46.5,-86.1
C026,-44.0,-86.9
C027,-18.7,-67.8
C028,92.7,-74.0
C029,84.0,7.9
C030,95.8,-35.0
C031,-16.6,39.8
C032,-92.1,98.9
C033,-80.2,47.8
C034,71.9,68.4
C035,-13.8,30.2
C036,8.4,-59.9
C037,-51.6,-63.6
C038,90.1,90.5
C039,-43.2,-15.3
C040,-72.6,2.7
C041,-54.0,-51.2
C042,-12.8,-88.1
C043,65.9,-91.5
C044,-53.1,-45.9
C045,47.3,-17.7
C046,-54.5,-78.5
C047,-82.7,-91.8
C048,39.2,-8.0
C049,-25.7,17.8
C050,44.5,8.1
C051,12.9,91.0
C052,-14.0,77.0
C053,-5.4,17.9
C054,40.2,-44.6
C055,-92.5,84.6
C056,97.5,-94.3
C057,81.3,-17.2
C058,88.2,-44.0
C059,-28.3,25.4
C060,97.1,-55.4
C061,65.0,91.8
C062,86.9,45.4
C063,90.4,-36.3
C064,-31.7,4.6
C065,0.5,-83.7
C066,-28.9,65.0
C067,58.1,32.7
C068,-44.5,-88.3
C069,98.6,-4.1
C070,83.0,-0.3
C071,-42.1,86.4
C072,-12.3,55.3
C073,84.1,-69.3
C074,-54.6,-43.0
C075,-61.1,28.3
C076,-28.4,37.4
C077,8.6,-24.2
C078,-87.2,-89.1
C079,-72.0,-6.3
C080,35.1,88.8
C081,36.4,-53.7
C082,3.7,54.1
C083,85.1,-44.4
C084,7.0,66.0
C085,31.4,53.2
C086,0.1,53.9
C087,1.9,77.2
C088,-20.4,29.7
C089,-17.7,17.0
C090,-95.6,15.8
C091,-24.9,-44.3
C092,37.6,-45.5
C093,-33.7,63.7
C094,76.2,29.7
C095,32.2,55.1
C096,-57.5,-60.5
C097,-23.1,96.6
C098,55.7,16.5
C099,9.0,-76.9
